N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Reward_std,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_violation,N_goal_reached,N_step_AVG,N_death,N_saved,N_death_by_end,Total_death,N_Total_episodes,N_break,Info_saved
300,1204,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.684736967086792,1.3619296623801347e-07,0.00023178133415058255,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
310,1244,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6492446660995483,3.26349436363671e-07,0.00010395875142421573,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
320,1284,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.675871729850769,1.5154773791437037e-06,-0.0008943666471168399,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
330,1324,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6220049858093262,1.27101002362906e-05,-0.00304179429076612,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
340,1364,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.846935510635376,1.7310799194092397e-06,4.879222979070619e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
350,1404,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.3139030933380127,1.2455604519345798e-05,0.003554798197001219,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
360,1444,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.9480106234550476,7.271806680364534e-05,0.009619475342333317,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
370,1484,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0709409713745117,2.1564851522271056e-06,0.0006975674768909812,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
380,1524,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0992217063903809,4.190973413642496e-06,-0.0020715873688459396,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
390,1564,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0809168815612793,2.783093577818363e-06,-0.001500584650784731,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
400,1604,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0977634191513062,2.346894461879856e-06,-0.0013322564773261547,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
410,1644,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,0.676222026348114,4.2850197132793255e-06,0.0011483398266136646,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
420,1684,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,0.9483610987663269,2.7180840334040113e-07,-0.0002536326937843114,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
430,1724,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0927679538726807,1.9308254195493646e-07,-0.0003172568394802511,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
440,1764,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.090348482131958,1.8614855434861965e-07,0.00040722370613366365,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
450,1804,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0917370319366455,2.690560449991608e-07,0.0004549502918962389,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
460,1844,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0902395248413086,5.959218469797634e-07,-0.0007105992408469319,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
470,1884,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0933642387390137,1.8900436771218665e-07,-0.0004297015839256346,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
480,1924,-1531812290,32.20008087158203,32.20008087158203,32.20008087158203,32.20008087158203,nan,1.0942811965942383,1.3305248103279155e-07,-0.0003498193109408021,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
490,1964,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.011010795831680298,0.0001469582348363474,1.512327253294643e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
500,2004,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.021449152380228043,7.608377927681431e-09,2.1680538964119478e-07,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
510,2044,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.14563915133476257,3.8455118556157686e-07,1.64772936841473e-05,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
520,2084,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.0982524156570435,5.846350177307613e-07,-0.0008133670780807734,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
530,2124,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.1013588905334473,6.963023224670906e-08,-0.0001978471118491143,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
540,2164,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.1003223657608032,9.285372470912989e-08,-0.00018103772890754044,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
550,2204,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,1.1052958965301514,8.200663614843506e-08,-0.00021488302445504814,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
560,2244,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6129670143127441,0.00010390966781415045,0.007494879886507988,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
